nct_id,indication,line_of_therapy
NCT01868451,"Classical Hodgkin Lymphoma",1L
NCT01868451,"Hodgkin Lymphoma",1L
NCT01920932,"Classical Hodgkin Lymphoma",1L
NCT01920932,"Hodgkin Lymphoma",1L
NCT01979536,"Anaplastic Large Cell Lymphoma",1L
NCT02099058,"Non-small Cell Lung Cancer",2L
NCT02099058,"Non-small Cell Lung Cancer",3L
NCT02099058,"Solid Tumors",2L
NCT02099058,"Solid Tumors",3L
NCT02117297,"Acute Myeloid Leukemia",2L
NCT02117297,"Myelodysplastic Syndrome",2L
NCT02152995,"Thyroid Cancer",2L
NCT02166463,"Classical Hodgkin Lymphoma",1L
NCT02166463,"Hodgkin Lymphoma",1L
NCT02187848,"Biliary Tract Cancer",1L
NCT02187848,"Bladder Cancer",1L
NCT02187848,"Colorectal Cancer",1L
NCT02187848,"Endometrial Cancer",1L
NCT02187848,"Gastric Cancer",1L
NCT02187848,"Non-small Cell Lung Cancer",1L
NCT02187848,"Ovarian Cancer",1L
NCT02187848,"Pancreatic Cancer",1L
NCT02187848,"Small Cell Lung Cancer",1L
NCT02187848,"Solid Tumors",1L
NCT02191930,"Classical Hodgkin Lymphoma",1L
NCT02191930,"Hodgkin Lymphoma",1L
NCT02226276,"Breast Cancer",1L
NCT02227199,"Hodgkin Lymphoma",1L
NCT02272478,"Acute Myeloid Leukemia",2L
NCT02272478,"Myelodysplastic Syndrome",2L
NCT02298257,"Hodgkin Lymphoma",1L
NCT02314481,"Non-small Cell Lung Cancer",2L
NCT02343042,"Multiple Myeloma",1-3PL
NCT02343042,"Multiple Myeloma",">= 1PL"
NCT02343042,"Multiple Myeloma",">= 2PL"
NCT02343042,"Multiple Myeloma",">= 3PL"
NCT02343042,"Multiple Myeloma","Newly Diagnosed"
NCT02390427,"Breast Cancer",2L
NCT02390427,"Breast Cancer",3L
NCT02390427,"Breast Cancer",4L
NCT02393690,"Thyroid Cancer",1L
NCT02398240,"Hodgkin Lymphoma",1L
NCT02448420,"Breast Cancer",2L
NCT02453594,"Classical Hodgkin Lymphoma",2L
NCT02453594,"Hodgkin Lymphoma",2L
NCT02465060,"Biliary Tract Cancer",1L
NCT02465060,"Bladder Cancer",1L
NCT02465060,"Breast Cancer",1L
NCT02465060,"Cervical Cancer",1L
NCT02465060,"Colorectal Cancer",1L
NCT02465060,"Endometrial Cancer",1L
NCT02465060,"Esophageal Cancer",1L
NCT02465060,"Gastric Cancer",1L
NCT02465060,Glioma,1L
NCT02465060,"Head and Neck Cancer",2L
NCT02465060,"Hepatocellular Carcinoma",1L
NCT02465060,"Lung Cancer",1L
NCT02465060,Melanoma,1L
NCT02465060,"Ovarian Cancer",1L
NCT02465060,"Pancreatic Cancer",1L
NCT02465060,"Prostate Cancer",1L
NCT02465060,"Renal Cell Carcinoma",1L
NCT02465060,"Skin Cancer",1L
NCT02465060,"Solid Tumors",1L
NCT02465060,"Uterine Cancer",1L
NCT02473146,"Acute Myeloid Leukemia",1L
NCT02564900,"Breast Cancer",1L
NCT02564900,"Breast Cancer",2L
NCT02564900,"Gastric Cancer",1L
NCT02564900,"Gastric Cancer",2L
NCT02564900,"Gastroesophageal Junction",1L
NCT02564900,"Gastroesophageal Junction",2L
NCT02564900,"Solid Tumors",1L
NCT02564900,"Solid Tumors",2L
NCT02564900,"Solid Tumors",3L
NCT02564900,"Solid Tumors",4L
NCT02568839,"Breast Cancer",Neoadjuvant
NCT02588651,"Adult T-cell Leukemia-Lymphoma",2L
NCT02588651,"Enteropathy-Associated T-cell Lymphoma",2L
NCT02588651,"Peripheral T-cell Lymphoma",2L
NCT02588651,"T-cell lymphoma",2L
NCT02616965,"Anaplastic Large Cell Lymphoma",1L
NCT02616965,"Cutaneous T-cell Lymphoma",1L
NCT02616965,"Hematological Malignancies",1L
NCT02661503,"Classical Hodgkin Lymphoma",1L
NCT02661503,"Hodgkin Lymphoma",1L
NCT02665065,"Acute Myeloid Leukemia",2L
NCT02675829,"Bladder Cancer",1L
NCT02675829,"Bladder Cancer",2L
NCT02675829,"Bladder Cancer",3L
NCT02675829,"Bladder Cancer",4L
NCT02675829,"Colorectal Cancer",1L
NCT02675829,"Endometrial Cancer",1L
NCT02675829,"Gynecologic Cancer",1L
NCT02675829,"Lung Cancer",1L
NCT02675829,"Solid Tumors",1L
NCT02684292,"Classical Hodgkin Lymphoma",2L
NCT02684292,"Hodgkin Lymphoma",2L
NCT02724163,"Acute Myeloid Leukemia",1L
NCT02724163,"Myelodysplastic Syndrome",1L
NCT02734771,"Diffuse Large B-cell Lymphoma",1L
NCT02744612,"Hodgkin Lymphoma",2L
NCT02758717,"Classical Hodgkin Lymphoma",1L
NCT02758717,"Hodgkin Lymphoma",1L
NCT02877303,"Acute Lymphocytic Leukemia",1L
NCT02877303,"Lymphoblastic Lymphoma",1L
NCT02927769,"Classical Hodgkin Lymphoma",2L
NCT02927769,"Hodgkin Lymphoma",2L
NCT02980341,"Breast Cancer",1L
NCT02980341,"Breast Cancer",2L
NCT02980341,"Breast Cancer",3L
NCT02980341,"Breast Cancer",4L
NCT02980341,"Triple-Negative Breast Cancer",1L
NCT02980341,"Triple-Negative Breast Cancer",2L
NCT02980341,"Triple-Negative Breast Cancer",3L
NCT02980341,"Triple-Negative Breast Cancer",4L
NCT02981628,"Acute Lymphocytic Leukemia",3L
NCT02981628,"B-cell Acute Lymphocytic Leukemia",3L
NCT02981628,"Lymphoblastic Lymphoma",3L
NCT02996825,"Breast Cancer",2L
NCT02996825,"Endometrial Cancer",2L
NCT02996825,"Fallopian tube Cancer",2L
NCT02996825,"Ovarian Cancer",2L
NCT02996825,"Peritoneal Cancer",2L
NCT02996825,"Triple-Negative Breast Cancer",2L
NCT03007030,Mesothelioma,2L
NCT03013933,"Hodgkin Lymphoma",2L
NCT03032107,"Breast Cancer",1L
NCT03032107,"Breast Cancer",2L
NCT03052634,"Breast Cancer",1L
NCT03052634,"Breast Cancer",2L
NCT03052634,"Breast Cancer",3L
NCT03057795,"Classical Hodgkin Lymphoma",1L
NCT03057795,"Classical Hodgkin Lymphoma",2L
NCT03057795,"Hodgkin Lymphoma",1L
NCT03057795,"Hodgkin Lymphoma",2L
NCT03104491,"Acute Lymphocytic Leukemia",2L
NCT03104491,"Non-Hodgkin Lymphoma",2L
NCT03113500,"Adult T-cell Leukemia-Lymphoma",1L
NCT03113500,"Anaplastic Large Cell Lymphoma",1L
NCT03113500,"Enteropathy-Associated T-cell Lymphoma",1L
NCT03113500,"Non-Hodgkin Lymphoma",1L
NCT03113500,"Peripheral T-cell Lymphoma",1L
NCT03113500,"T-cell lymphoma",1L
NCT03126630,Mesothelioma,2L
NCT03126630,Mesothelioma,3L
NCT03126916,Neuroblastoma,1L
NCT03187210,"Hodgkin Lymphoma",1L
NCT03187210,"Peripheral T-cell Lymphoma",1L
NCT03217643,"Enteropathy-Associated T-cell Lymphoma",1L
NCT03219333,"Bladder Cancer",1L
NCT03219333,"Bladder Cancer",2L
NCT03219333,"Genitourinary Cancer",2L
NCT03219333,"Urethral Cancer",2L
NCT03233347,"Classical Hodgkin Lymphoma",1L
NCT03233347,"Hodgkin Lymphoma",1L
NCT03246750,"T-cell lymphoma",1L
NCT03248492,"Breast Cancer",2L
NCT03248492,"Breast Cancer",3L
NCT03249870,"Acute Lymphocytic Leukemia",1L
NCT03255070,"Breast Cancer",2L
NCT03255070,"Gastric Cancer",2L
NCT03255070,"Solid Tumors",2L
NCT03260491,"Lung Cancer",2L
NCT03260491,"Lung Cancer",3L
NCT03260491,"Lung Cancer",4L
NCT03260491,"Non-small Cell Lung Cancer",2L
NCT03260491,"Non-small Cell Lung Cancer",3L
NCT03260491,"Non-small Cell Lung Cancer",4L
NCT03264131,"Adult T-cell Leukemia-Lymphoma",1L
NCT03264131,"Adult T-cell Leukemia-Lymphoma",2L
NCT03264131,"Peripheral T-cell Lymphoma",1L
NCT03264131,"Peripheral T-cell Lymphoma",2L
NCT03264547,"Breast Cancer",2L
NCT03274492,"Anaplastic Large Cell Lymphoma",1L
NCT03274492,"B-cell Lymphoma",1L
NCT03274492,"B-cell Lymphoma","Newly Diagnosed"
NCT03274492,"Diffuse Large B-cell Lymphoma",1L
NCT03274492,"Diffuse Large B-cell Lymphoma","Newly Diagnosed"
NCT03288545,"Bladder Cancer",1L
NCT03288545,"Bladder Cancer",2L
NCT03288545,"Genitourinary Cancer",1L
NCT03288545,"Urethral Cancer",1L
NCT03310957,"Breast Cancer",1L
NCT03310957,"Triple-Negative Breast Cancer",1L
NCT03319628,"Non-small Cell Lung Cancer",2L
NCT03319628,"Non-small Cell Lung Cancer",3L
NCT03319628,"Ovarian Cancer",2L
NCT03319628,"Ovarian Cancer",3L
NCT03319628,"Solid Tumors",2L
NCT03319628,"Solid Tumors",3L
NCT03334617,"Lung Cancer",2L
NCT03334617,"Lung Cancer",3L
NCT03334617,"Lung Cancer",4L
NCT03334617,"Non-small Cell Lung Cancer",2L
NCT03334617,"Non-small Cell Lung Cancer",3L
NCT03334617,"Non-small Cell Lung Cancer",4L
NCT03337698,"Non-small Cell Lung Cancer",1L
NCT03337698,"Non-small Cell Lung Cancer",2L
NCT03356054,"Diffuse Large B-cell Lymphoma",2L
NCT03356054,"Non-Hodgkin Lymphoma",2L
NCT03356054,"Primary Mediastinal B-cell Lymphoma",2L
NCT03374332,"Acute Myeloid Leukemia",2L
NCT03379428,"Breast Cancer",2L
NCT03379428,"Breast Cancer",3L
NCT03379428,"Breast Cancer",4L
NCT03383692,"Solid Tumors",1L
NCT03383692,"Solid Tumors",2L
NCT03383692,"Solid Tumors",3L
NCT03383692,"Solid Tumors",4L
NCT03386513,"Acute Lymphocytic Leukemia",1L
NCT03386513,"Acute Myeloid Leukemia",1L
NCT03386513,"Blastic Plasmacytoid Dendritic Cell Neoplasm",1L
NCT03386513,"Chronic Myeloid Leukemia",1L
NCT03386513,"Chronic Myelomonocytic Leukemia",1L
NCT03386513,"Hematological Malignancies",1L
NCT03386513,"Myelodysplastic Syndrome",1L
NCT03386513,"Myeloproliferative Neoplasm",1L
NCT03401385,"Bladder Cancer",1L
NCT03401385,"Breast Cancer",1L
NCT03401385,"Breast Cancer",2L
NCT03401385,"Cervical Cancer",1L
NCT03401385,"Colorectal Cancer",1L
NCT03401385,"Endometrial Cancer",1L
NCT03401385,"Esophageal Cancer",1L
NCT03401385,"Gastric Cancer",1L
NCT03401385,"Gastroesophageal Junction",1L
NCT03401385,"Head and Neck Cancer",1L
NCT03401385,"Non-small Cell Lung Cancer",1L
NCT03401385,"Non-small Cell Lung Cancer",2L
NCT03401385,"Ovarian Cancer",1L
NCT03401385,"Pancreatic Cancer",1L
NCT03401385,"Prostate Cancer",1L
NCT03401385,"Small Cell Lung Cancer",1L
NCT03401385,"Solid Tumors",1L
NCT03401385,"Triple-Negative Breast Cancer",1L
NCT03401385,"Triple-Negative Breast Cancer",2L
NCT03409432,"Anaplastic Large Cell Lymphoma",2L
NCT03409432,"Cutaneous T-cell Lymphoma",2L
NCT03409432,"Non-Hodgkin Lymphoma",2L
NCT03409432,"T-cell lymphoma",2L
NCT03424005,"Breast Cancer",1L
NCT03424005,"Breast Cancer",2L
NCT03424005,"Triple-Negative Breast Cancer",1L
NCT03424005,"Triple-Negative Breast Cancer",2L
NCT03424603,"B-cell Lymphoma",2L
NCT03424603,"B-cell Lymphoma",3L
NCT03424603,"Diffuse Large B-cell Lymphoma",2L
NCT03424603,"Diffuse Large B-cell Lymphoma",3L
NCT03424603,"Follicular Lymphoma",2L
NCT03424603,"Follicular Lymphoma",3L
NCT03424603,"Mantle Cell Lymphoma",2L
NCT03424603,"Mantle Cell Lymphoma",3L
NCT03424603,"Multiple Myeloma",">= 1PL"
NCT03424603,"Non-Hodgkin Lymphoma",2L
NCT03424603,"Non-Hodgkin Lymphoma",3L
NCT03425279,"Ewing Sarcoma",1L
NCT03425279,Leiomyosarcoma,1L
NCT03425279,Liposarcoma,1L
NCT03425279,Melanoma,1L
NCT03425279,Melanoma,2L
NCT03425279,"Non-small Cell Lung Cancer",1L
NCT03425279,Osteosarcoma,1L
NCT03425279,"Soft Tissue Sarcoma",1L
NCT03425279,"Solid Tumors",1L
NCT03425279,"Synovial Sarcoma",1L
NCT03441061,"Acute Lymphocytic Leukemia",2L
NCT03460522,"Acute Lymphocytic Leukemia",Maintenance
NCT03467373,"B-cell Lymphoma",1L
NCT03467373,"Diffuse Large B-cell Lymphoma",1L
NCT03467373,"Non-Hodgkin Lymphoma",1L
NCT03474107,"Bladder Cancer",2L
NCT03474107,"Bladder Cancer",3L
NCT03474133,"Hepatocellular Carcinoma",1L
NCT03474133,"Hepatocellular Carcinoma",2L
NCT03474133,"Hodgkin Lymphoma",1L
NCT03474133,"Hodgkin Lymphoma",2L
NCT03474133,"Solid Tumors",1L
NCT03474133,"Solid Tumors",2L
NCT03485209,"Colorectal Cancer",2L
NCT03485209,"Colorectal Cancer",3L
NCT03485209,"Colorectal Cancer",4L
NCT03485209,"Head and Neck Cancer",2L
NCT03485209,"Head and Neck Cancer",3L
NCT03485209,"Head and Neck Cancer",4L
NCT03485209,"Lung Cancer",2L
NCT03485209,"Lung Cancer",3L
NCT03485209,"Lung Cancer",4L
NCT03485209,"Non-small Cell Lung Cancer",2L
NCT03485209,"Non-small Cell Lung Cancer",3L
NCT03485209,"Non-small Cell Lung Cancer",4L
NCT03485209,"Pancreatic Cancer",2L
NCT03485209,"Solid Tumors",2L
NCT03485209,"Solid Tumors",3L
NCT03485209,"Squamous Cell Carcinoma",2L
NCT03485209,"Squamous Cell Carcinoma",3L
NCT03500380,"Breast Cancer",3L
NCT03504488,"Breast Cancer",1L
NCT03504488,"Breast Cancer",2L
NCT03504488,"Breast Cancer",3L
NCT03504488,"Breast Cancer",4L
NCT03504488,"Head and Neck Cancer",1L
NCT03504488,"Head and Neck Cancer",2L
NCT03504488,"Lung Cancer",1L
NCT03504488,"Lung Cancer",2L
NCT03504488,"Lung Cancer",3L
NCT03504488,"Lung Cancer",4L
NCT03504488,Melanoma,1L
NCT03504488,Melanoma,2L
NCT03504488,"Non-small Cell Lung Cancer",1L
NCT03504488,"Non-small Cell Lung Cancer",2L
NCT03504488,"Non-small Cell Lung Cancer",3L
NCT03504488,"Non-small Cell Lung Cancer",4L
NCT03504488,"Soft Tissue Sarcoma",1L
NCT03504488,"Soft Tissue Sarcoma",2L
NCT03504488,"Soft Tissue Sarcoma",3L
NCT03504488,"Soft Tissue Sarcoma",4L
NCT03504488,"Solid Tumors",1L
NCT03504488,"Solid Tumors",2L
NCT03504488,"Solid Tumors",3L
NCT03504488,"Solid Tumors",4L
NCT03504488,"Triple-Negative Breast Cancer",1L
NCT03504488,"Triple-Negative Breast Cancer",2L
NCT03504488,"Triple-Negative Breast Cancer",3L
NCT03504488,"Triple-Negative Breast Cancer",4L
NCT03505710,"Non-small Cell Lung Cancer",1L
NCT03505710,"Non-small Cell Lung Cancer",2L
NCT03505710,"Non-small Cell Lung Cancer",3L
NCT03505710,"Non-small Cell Lung Cancer",4L
NCT03517137,"Classical Hodgkin Lymphoma",1L
NCT03517137,"Hodgkin Lymphoma",1L
NCT03523572,"Bladder Cancer",2L
NCT03523572,"Bladder Cancer",3L
NCT03523572,"Bladder Cancer",4L
NCT03523572,"Breast Cancer",2L
NCT03523572,"Breast Cancer",3L
NCT03523572,"Breast Cancer",4L
NCT03523585,"Breast Cancer",2L
NCT03525678,"Multiple Myeloma",">= 3PL"
NCT03527628,"Classical Hodgkin Lymphoma",1L
NCT03527628,"Hodgkin Lymphoma",1L
NCT03529110,"Breast Cancer",2L
NCT03533283,"B-cell Lymphoma",2L
NCT03533283,"B-cell Lymphoma",3L
NCT03533283,"B-cell Lymphoma",4L
NCT03533283,"Diffuse Large B-cell Lymphoma",2L
NCT03533283,"Diffuse Large B-cell Lymphoma",3L
NCT03533283,"Diffuse Large B-cell Lymphoma",4L
NCT03533283,"Follicular Lymphoma",2L
NCT03533283,"Follicular Lymphoma",3L
NCT03533283,"Follicular Lymphoma",4L
NCT03533283,"Non-Hodgkin Lymphoma",2L
NCT03533283,"Non-Hodgkin Lymphoma",3L
NCT03533283,"Non-Hodgkin Lymphoma",4L
NCT03539536,"Non-small Cell Lung Cancer",2L
NCT03539536,"Non-small Cell Lung Cancer",3L
NCT03540849,"Classical Hodgkin Lymphoma",Maintenance
NCT03540849,"Hodgkin Lymphoma",Maintenance
NCT03543813,"Diffuse Large B-cell Lymphoma",2L
NCT03543813,"Esophageal Cancer",2L
NCT03543813,"Head and Neck Cancer",2L
NCT03543813,"Non-small Cell Lung Cancer",2L
NCT03543813,"Solid Tumors",2L
NCT03544281,"Multiple Myeloma",">= 1PL"
NCT03547973,"Bladder Cancer",2L
NCT03547973,"Bladder Cancer",3L
NCT03552471,"Endometrial Cancer",2L
NCT03552471,"Fallopian tube Cancer",2L
NCT03552471,"Ovarian Cancer",2L
NCT03552471,"Peritoneal Cancer",2L
NCT03552471,"Solid Tumors",2L
NCT03568994,"Acute Myeloid Leukemia",1L
NCT03568994,"Acute Myeloid Leukemia",2L
NCT03568994,"Myelodysplastic Syndrome",1L
NCT03568994,"Myelodysplastic Syndrome",2L
NCT03576378,"Classical Hodgkin Lymphoma",1L
NCT03576378,"Hodgkin Lymphoma",1L
NCT03587311,"Fallopian tube Cancer",2L
NCT03587311,"Fallopian tube Cancer",3L
NCT03587311,"Ovarian Cancer",2L
NCT03587311,"Ovarian Cancer",3L
NCT03587311,"Peritoneal Cancer",2L
NCT03587311,"Peritoneal Cancer",3L
NCT03587740,"Breast Cancer",Adjuvant
NCT03589729,"Acute Myeloid Leukemia",1L
NCT03589729,"Acute Myeloid Leukemia",2L
NCT03589729,"Chronic Myeloid Leukemia",1L
NCT03589729,"Chronic Myeloid Leukemia",2L
NCT03589729,"Hematological Malignancies",1L
NCT03589729,"Hematological Malignancies",2L
NCT03589729,"Myelodysplastic Syndrome",1L
NCT03589729,"Myelodysplastic Syndrome",2L
NCT03589729,"Myeloproliferative Neoplasm",1L
NCT03589729,"Myeloproliferative Neoplasm",2L
NCT03595059,"Breast Cancer",2L
NCT03595059,"Lung Cancer",2L
NCT03595059,"Non-small Cell Lung Cancer",2L
NCT03595059,"Small Cell Lung Cancer",2L
NCT03595059,"Small Cell Lung Cancer",3L
NCT03639194,"Lung Cancer",1L
NCT03639194,"Lung Cancer",2L
NCT03639194,"Lung Cancer",3L
NCT03639194,"Small Cell Lung Cancer",1L
NCT03639194,"Small Cell Lung Cancer",2L
NCT03639194,"Small Cell Lung Cancer",3L
NCT03639194,"Solid Tumors",1L
NCT03639194,"Solid Tumors",2L
NCT03639194,"Solid Tumors",3L
NCT03646123,"Classical Hodgkin Lymphoma",1L
NCT03646123,"Hodgkin Lymphoma",1L
NCT03671018,"Diffuse Large B-cell Lymphoma",3L
NCT03671018,"Diffuse Large B-cell Lymphoma",4L
NCT03671018,"Follicular Lymphoma",3L
NCT03671018,"Follicular Lymphoma",4L
NCT03671018,"Mantle Cell Lymphoma",3L
NCT03671018,"Mantle Cell Lymphoma",4L
NCT03671018,"Mantle Cell Lymphoma",5L
NCT03671018,"Non-Hodgkin Lymphoma",3L
NCT03671018,"Non-Hodgkin Lymphoma",4L
NCT03672539,"Acute Myeloid Leukemia",2L
NCT03672539,"Chronic Myelomonocytic Leukemia",2L
NCT03672539,"Myelodysplastic Syndrome",2L
NCT03677141,"Diffuse Large B-cell Lymphoma",1L
NCT03677141,"Non-Hodgkin Lymphoma",1L
NCT03677154,"Diffuse Large B-cell Lymphoma",1L
NCT03677154,"Diffuse Large B-cell Lymphoma",2L
NCT03698552,"Acute Lymphocytic Leukemia",2L
NCT03698552,"B-cell Acute Lymphocytic Leukemia",2L
NCT03703050,"Anaplastic Large Cell Lymphoma",2L
NCT03709082,"Breast Cancer",2L
NCT03712202,"Classical Hodgkin Lymphoma",1L
