nct_id,url,first_received_date,last_posted_date,acronym,brief_title,brief_summary,official_title,allocation,number_of_arms,trial_freshness,enrollment,trial_stage,sites,pipeline_phase,trial_status,overall_status,start_date,primary_completion_date,completion_date,sponsor_type
ChiCTR2200066256,https://www.chictr.org.cn/showproj.html?proj=185424,"2022-11-29 00:00:00","2023-05-15 00:00:00",NULL,"Phase I, Dose Escalation, PK Expansion and Cohort Expansion study of SYS6002 in Patients with Advanced Solid Tumors",NULL,"An Open-label, Single-arm, Multi-center, Phase I Clinical Study to Evaluate the Safety, Tolerability, Pharmacokinetic Profile and Preliminary Efficacy of SYS6002 in Patients with Advanced Solid Tumors",NULL,NULL,NULL,0,NULL,1,"Phase 1",Planned,Pending,"2022-12-01 00:00:00",NULL,NULL,Non-industry
ChiCTR2300067600,https://www.chictr.org.cn/showproj.html?proj=182330,"2023-01-13 00:00:00","2023-05-15 00:00:00",NULL,"Phase Ib/II clinical trial of RC48-ADC in combination with pyrotinib in HER2-positive recurrent or metastatic breast cancer after trastuzumab failure",NULL,"Phase Ib/II clinical trial of RC48-ADC in combination with pyrotinib in HER2-positive recurrent or metastatic breast cancer after trastuzumab failure",NULL,NULL,NULL,0,NULL,1,"Phase 2",Planned,Pending,"2023-02-01 00:00:00",NULL,NULL,Non-industry
ChiCTR2300068270,https://www.chictr.org.cn/showproj.html?proj=190927,"2023-02-13 00:00:00","2023-05-22 00:00:00",NULL,"An Exploratory Clinical Study of Neoadjuvant Disitamab Vedotin Therapy for Muscler-Invasive Urothelial Bladder Cancer with HER2 Overexpression",NULL,"An Exploratory Clinical Study of Neoadjuvant Disitamab Vedotin Therapy for Muscler-Invasive Urothelial Bladder Cancer with HER2 Overexpression",NULL,NULL,NULL,0,NULL,1,"Phase 1",Planned,Pending,"2023-02-13 00:00:00",NULL,NULL,Non-industry
ChiCTR2300068769,https://www.chictr.org.cn/showproj.html?proj=189920,"2023-02-28 00:00:00","2023-05-22 00:00:00",NULL,"A single-arm, single-center exploratory clinical study of Disitamab Vedotin combined with Penpulimab as neoadjuvant therapy in the treatment of HER2-low early or locally advanced breast cancer",NULL,"A single-arm, single-center exploratory clinical study of Disitamab Vedotin combined with Penpulimab as neoadjuvant therapy in the treatment of HER2-low early or locally advanced breast cancer",NULL,NULL,NULL,0,NULL,1,"Phase 1",Planned,Pending,"2023-03-01 00:00:00",NULL,NULL,Non-industry
ChiCTR2300068946,https://www.chictr.org.cn/showproj.html?proj=190640,"2023-03-02 00:00:00","2023-05-22 00:00:00",NULL,"A single-arm, single center, phase II study of RC48 combined with Pyrotinib in the treatment of HER-2 positive advanced breast cancer patients with brain metastases",NULL,"RC48 combined with Pyrotinib in HER-2 positive advanced breast cancer patients with brain metastases",NULL,NULL,NULL,0,NULL,1,"Phase 2",Open,Recruiting,"2023-03-02 00:00:00",NULL,NULL,Non-industry
ChiCTR2300069410,https://www.chictr.org.cn/showproj.html?proj=183930,"2023-03-15 00:00:00","2023-05-29 00:00:00",NULL,"An open-label, randomized, controlled phase 3 study of enfortumab vedotin in combination with pembrolizumab versus chemotherapy alone in previously untreated locally advanced or metastatic urothelial cancer",NULL,"An open-label, randomized, controlled phase 3 study of enfortumab vedotin in combination with pembrolizumab versus chemotherapy alone in previously untreated locally advanced or metastatic urothelial cancer",Randomized,NULL,NULL,0,NULL,1,"Phase 3",Planned,Pending,"2020-02-16 00:00:00",NULL,NULL,Non-industry
CTRI/2019/08/020544,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=35880,"2019-08-05 00:00:00","2021-11-24 00:00:00",NULL,"Study to know the usefulness of Trastuzumab Emtansine medicine in widespread breast cancer patients",NULL,"A Randomized, Multiple-dose, Multicenter, Comparative Parallel Study toEvaluate the Efficacy, Safety and Pharmacokinetic Characteristics ofIntravenous Infusion of Trastuzumab Emtansine (Hetero) and ReferenceMedicinal Product (Trastuzumab Emtansine, Roche) in Patients of HER2-positive Metastatic breast cancer - TREMBC STUDY",Randomized,NULL,NULL,153,NULL,1,"Phase 3",Planned,"Not yet recruiting","2019-08-09 00:00:00",NULL,NULL,Industry
CTRI/2021/10/037317,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=59256,"2021-10-13 00:00:00","2023-05-01 00:00:00",NULL,"A phase 3 study that will assess the safety and efficacy of Polatuzumab Vedotin in combination with R-Gemox vs only treatment with R-Gemox in patients having RELAPSED/REFRACTORY DIFFUSE LARGE B-CELL LYMPHOMA",NULL,"A PHASE III, OPEN-LABEL, MULTICENTER, RANDOMIZED STUDY EVALUATING THE SAFETY AND EFFICACY OF POLATUZUMAB VEDOTIN IN COMBINATION WITH RITUXIMAB PLUS GEMCITABINE PLUS OXALIPLATIN (R-GEMOX)VERSUS R-GEMOX ALONE IN PATIENTS WITH RELAPSED/REFRACTORY DIFFUSE LARGE B-CELL LYMPHOMA",Randomized,NULL,NULL,206,NULL,18,"Phase 3",Open,"Open to Recruitment","2021-11-01 00:00:00",NULL,NULL,Industry
CTRI/2022/02/040116,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=64665,"2022-02-08 00:00:00","2023-02-06 00:00:00",NULL,"A Clinical study of Trastuzumab Deruxtecan as first line Treatment for Non-Small Cell Lung Cancer",NULL,"An Open-label, Randomized, Multicenter, Phase 3 Study to Assess the Efficacy and Safety of Trastuzumab Deruxtecan as First-line Treatment of Unresectable, Locally Advanced, or Metastatic NSCLC Harboring HER2 Exon 19 or 20 Mutations(DESTINY-Lung04)",Randomized,NULL,NULL,264,NULL,21,"Phase 3",Planned,"Not yet recruiting","2022-02-15 00:00:00",NULL,NULL,Industry
CTRI/2023/03/050491,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=72279,"2023-03-09 00:00:00","2023-06-26 00:00:00",NULL,"Clinical trial/study for Breast Cancer patient with HER2 positive",NULL,"A Phase IIIb, Multinational, Multicenter, Randomized, Open-label study to Evaluate patient preference for home Administration of fixed-dose Combination of Pertuzumab and Trastuzumab for Subcutaneous Administration in participants with Early or locally advanced/ Inflammatory HER2-positive Breast Cancer.",Randomized,NULL,NULL,330,NULL,10,"Phase 3",Planned,"Not yet recruiting","2023-03-30 00:00:00",NULL,NULL,Industry
CTRI/2023/05/052218,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=84221,"2023-05-02 00:00:00","2023-05-29 00:00:00",NULL,"Study of Datopotamab Deruxtecan (Dato-DXd) for first line treatment of patients with locally advanced or metastatic NSCLC",NULL,"A Phase III, Randomised, Open-label, Multicentre, Global Study of Datopotamab Deruxtecan (Dato-DXd) in Combination With Durvalumab and Carboplatin Versus Pembrolizumab in Combination With Platinum-based Chemotherapy for the First line Treatment of Patients With Locally Advanced or Metastatic NSCLC Without Actionable Genomic Alterations (D926NC00001; AVANZAR) - AVANZAR",NULL,NULL,NULL,1000,NULL,24,"Phase 3",Planned,"Not yet recruiting","2023-06-18 00:00:00",NULL,NULL,Industry
EUCTR2005-000279-16-FI,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2005-000279-16,"2007-04-19 00:00:00","2012-03-19 00:00:00",NULL,"Phase III Clinical Study of Allogeneic Stem Cell Transplantation with Reduced Conditioning(RICT) versus Best Standard of Care in Acute Myeloid Leukemia (AML) in First Complete Remission - RICTin AML",NULL,"Phase III Clinical Study of Allogeneic Stem Cell Transplantation with Reduced Conditioning(RICT) versus Best Standard of Care in Acute Myeloid Leukemia (AML) in First Complete Remission - RICTin AML",NULL,NULL,NULL,300,NULL,1,"Phase 3",Open,"Authorised-recruitment may be ongoing or finished","2007-06-07 00:00:00",NULL,NULL,Non-industry
EUCTR2005-001588-78-GB,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2005-001588-78,"2005-05-11 00:00:00","2019-06-30 00:00:00",NULL,"AML16 Pilot Trial: A Phase1/2 Trial to assess the feasibility of combining Clofarabine with daunorubicin and Daunorubicin + Clofarabine with Mylotarg in older patients with Acute Myeloid Leukaemia and High Risk Myelodysplastic syndrome - AML 16 Pilot",NULL,"AML16 Pilot Trial: A Phase1/2 Trial to assess the feasibility of combining Clofarabine with daunorubicin and Daunorubicin + Clofarabine with Mylotarg in older patients with Acute Myeloid Leukaemia and High Risk Myelodysplastic syndrome - AML 16 Pilot",NULL,NULL,NULL,30,NULL,1,"Phase 2",Planned,"Not yet recruiting","2005-06-13 00:00:00",NULL,NULL,Non-industry
EUCTR2007-003798-16-DK,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2007-003798-16,"2009-01-23 00:00:00","2020-11-03 00:00:00",NULL,"AML 17: A Programme of Treatment Development in Younger Patients with Acute Myeloid Leukaemia and High Risk Myelodysplastic Syndrome",NULL,"AML 17: A Programme of Treatment Development in Younger Patients with Acute Myeloid Leukaemia and High Risk Myelodysplastic Syndrome - AML17",NULL,NULL,NULL,2700,NULL,3,"Phase 1",Open,"Authorised-recruitment may be ongoing or finished","2009-03-05 00:00:00",NULL,NULL,Non-industry
EUCTR2010-018980-41-BE,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2010-018980-41,"2013-09-20 00:00:00","2023-06-26 00:00:00",NULL,"International study to confirm a benefit of a combination of anti-cancer drugs in the treatment of children and young patients under age of 21 years with refractory or recurrent acute blood cancer",NULL,"International randomized phase III study on the treatment of children and adolescents with refractory or relapsed acute myeloid leukemia",Randomized,NULL,NULL,252,NULL,10,"Phase 3",Planned,"Not yet recruiting","2013-10-15 00:00:00",NULL,NULL,Non-industry
EUCTR2013-003252-20-BE,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2013-003252-20,"2013-09-19 00:00:00","2017-10-23 00:00:00",NULL,"An open-label, two-stage Phase I/IIa dose escalation study of BT062 in metastatic  triple receptor-negative breast cancer and in metastatic  transitional cell carcinoma of the urinary bladder",NULL,"An open-label, two-stage Phase I/IIa dose escalation study of BT062 in metastatic  triple receptor-negative breast cancer and in metastatic  transitional cell carcinoma of the urinary bladder - INTRAIN-BB (INdaTuximab RAvtansin effect IN Brest and Bladder cancer",NULL,NULL,NULL,180,NULL,2,"Phase 3",Planned,"Not yet recruiting","2013-12-09 00:00:00",NULL,NULL,Industry
EUCTR2014-000793-19-ES,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2014-000793-19,"2014-08-06 00:00:00","2014-10-27 00:00:00",NULL,"Early phase Clinical trial, Randomized Study of T DM1 versus T DM1 plus docetaxel in first line treatment for locally advanced or metastatic HER2+ breast cancer.",NULL,"A Phase II, Randomized Study of T DM1 versus T DM1 plus short induction with docetaxel in first line treatment for locally advanced or metastatic HER2+ breast cancer.",Randomized,NULL,NULL,0,NULL,1,"Phase 2",Open,"Authorised-recruitment may be ongoing or finished","2014-10-20 00:00:00",NULL,NULL,Non-industry
EUCTR2014-000808-10-SE,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2014-000808-10,"2014-08-29 00:00:00","2019-12-16 00:00:00",NULL,"PREDIX HER2 - preoperative treatment of HER2 positive breast cancer",NULL,"PREDIX HER2 - Neoadjuvant response-guided treatment of HER2 positive breast cancer. Part of a platform of translational phase II trials based on molecular subtypes - PREDIX HER2",NULL,NULL,NULL,200,NULL,1,"Phase 3",Open,"Authorised-recruitment may be ongoing or finished","2014-11-12 00:00:00",NULL,NULL,Non-industry
EUCTR2014-002195-90-DK,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2014-002195-90,"2015-11-17 00:00:00","2022-02-01 00:00:00",NULL,"The AML19 Trial is an intensive chemotherapy trial for patients between 16 and 60 with AML and High Risk Myelodysplastic disease (please note High Risk MDS arm is now closed).",NULL,"Adults with acute myeloid leukaemia or high-risk myelodysplastic syndrome (AML19) - AML19",NULL,NULL,NULL,3000,NULL,3,"Phase 3",Open,"Authorised-recruitment may be ongoing or finished","2016-04-01 00:00:00",NULL,NULL,Non-industry
EUCTR2014-005341-44-AT,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2014-005341-44,"2015-03-19 00:00:00","2018-09-10 00:00:00",NULL,"Tumor profiling",NULL,"Molecular-biological tumor profiling for drug treatment selection in patients with advanced and refractory carcinoma",NULL,NULL,NULL,64,NULL,1,"Phase 3",Planned,"Not yet recruiting","2015-05-04 00:00:00",NULL,NULL,Non-industry
EUCTR2016-000227-71-FI,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2016-000227-71,"2022-02-01 00:00:00","2022-08-08 00:00:00",NULL,"The safety and efficacy of the medicine Inotuzumab Ozogamicin in children with relapsed/refractory acute lymphatic leukemia (ALL)",NULL,"A phase I/II study of Inotuzumab Ozogamicin as a single agent and in combination with chemotherapy for pediatric CD22-positive relapsed/refractory Acute Lymphoblastic Leukemia - ITCC-059",NULL,NULL,NULL,156,NULL,19,"Phase 2",Open,"Authorised-recruitment may be ongoing or finished","2022-03-03 00:00:00",NULL,NULL,Non-industry
EUCTR2019-002181-12-IT,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2019-002181-12,"2021-05-24 00:00:00","2021-08-30 00:00:00",NULL,"OPTIMAL THERAPY FOR HER2 POSITIVE METASTATIC BREAST CANCER PATIENTS",NULL,"EXPLORING OPTIMAL SEQUENCE TREATMENT IN HER2+ PERTUZUMAB PRE- TREATED ADVANCED BREAST CANCER PATIENTS. THE STEP TRIAL. - STEP",NULL,NULL,NULL,101,NULL,1,"Phase 3",Open,"Authorised-recruitment may be ongoing or finished","2019-09-30 00:00:00",NULL,NULL,Non-industry
EUCTR2019-003084-21-IT,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2019-003084-21,"2021-06-17 00:00:00","2022-03-02 00:00:00",NULL,"A phase-II academic trial testing, in two parallel non-randomized cohorts, the combination of ruxolitinib (JAK1/2 inhibitor) with brentuximab or nivolumab in relapsed or refractory classical Hodgkin lymphoma (cHL)",NULL,"A phase-II academic trial testing, in two parallel non-randomized cohorts, the combination of ruxolitinib (JAK1/2 inhibitor) with brentuximab or nivolumab in relapsed or refractory classical Hodgkin lymphoma (cHL) - cHL-PG01",Non-Randomized,NULL,NULL,27,NULL,1,"Phase 3",Open,"Authorised-recruitment may be ongoing or finished","2020-01-13 00:00:00",NULL,NULL,Non-industry
EUCTR2020-000273-24-GB,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-000273-24,"2020-08-21 00:00:00","2020-11-16 00:00:00",NULL,"Venetoclax or Intensive Chemotherapy for Treatment Of Favourable Risk Acute Myeloid Leukaemia: A Molecularly Guided Phase 2 Study",NULL,"Venetoclax or Intensive Chemotherapy for Treatment Of Favourable Risk Acute Myeloid Leukaemia: A Molecularly Guided Phase 2 Study - VICTOR",NULL,NULL,NULL,186,NULL,3,"Phase 3",Open,"Authorised-recruitment may be ongoing or finished","2020-10-06 00:00:00",NULL,NULL,Non-industry
EUCTR2020-004181-20-IT,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-004181-20,"2021-07-27 00:00:00","2022-03-02 00:00:00",NULL,"Camidanlumab Tesirine in elderly patients with Hodgkin lymphoma who failed to achieve an adequate response with first-line treatment or relapsed thereafter.",NULL,"Camidanlumab tesirine (ADCT-301) in older classical Hodgkin lymphoma (cHL) patients with relapsed or refractory disease after front-line treatment or at high risk of failure, defined by a positive interim-PET (PET-2) after two cycles of first-line treatment: A phase II study - IEO1360",NULL,NULL,NULL,46,NULL,1,"Phase 3",Open,"Authorised-recruitment may be ongoing or finished","2021-09-22 00:00:00",NULL,NULL,Industry
EUCTR2021-003526-80-CZ,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2021-003526-80,"2021-09-02 00:00:00","2022-05-16 00:00:00",NULL,"The standard of care for patients with newly diagnosed CD30-positive PTCL is treatment with a combination of drugs called CHOP. This study is conducted to improve the effectiveness of CHOP chemotherapy with combination therapy, in which vincristine is replaced by brentuximab vedotin. Also, the addition of etoposide to various chemotherapy regimens for T-lymphomas has been associated with promising results in several other studies. This combination is called A + CHEP.",NULL,"A Phase II Open Label Study of Brentuximab Vedotin in combination with CHEP in Patients with Previously Untreated CD30-expressing Peripheral T-cell Lymphomas.",NULL,NULL,NULL,33,NULL,2,"Phase 3",Open,"Authorised-recruitment may be ongoing or finished","2021-12-16 00:00:00",NULL,NULL,Non-industry
JPRN-jRCT2011210017,https://jrct.niph.go.jp/latest-detail/jRCT2011210017,"2021-06-17 00:00:00","2022-07-06 00:00:00",NULL,"Phase II, multicenter, open-label study of Trastuzumab derxtecan in patients with HER2-expressing recurrent and or metastatic salivary gland carcinoma",NULL,"Phase II, multicenter, open-label study of Trastuzumab derxtecan in patients with HER2-expressing recurrent and or metastatic salivary gland carcinoma",NULL,NULL,NULL,52,NULL,1,"Phase 2",Open,Recruiting,"2021-06-17 00:00:00",NULL,NULL,Non-industry
JPRN-jRCT2031200186,https://jrct.niph.go.jp/latest-detail/jRCT2031200186,"2020-11-06 00:00:00","2022-04-06 00:00:00",NULL,"Patritumab Deruxtecan in Subjects with Metastatic or Locally Advanced EGFR-mutated NSCLC",NULL,"A Phase 2 Randomized Open-Label Study of Patritumab Deruxtecan (U3-1402) in Subjects With Previously Treated Metastatic or Locally Advanced EGFRmutated Non-Small Cell Lung Cancer (NSCLC) - HERTHENA-Lung01 - HERTHENA-Lung01",Randomized,NULL,NULL,420,NULL,10,"Phase 2",Planned,"Not yet recruiting","2021-01-18 00:00:00",NULL,NULL,Non-industry
JPRN-jRCT2031210436,https://jrct.niph.go.jp/latest-detail/jRCT2031210436,"2021-11-21 00:00:00","2023-03-27 00:00:00",NULL,TEMENOS2,NULL,"Phase II clinical trial evaluating the safety and efficacy of trastuzumab emtansine in patients with advanced HER2-positive extramammary Pagets disease (TEMENOS 2 trial) - TEMENOS2",NULL,NULL,NULL,14,NULL,1,"Phase 2",Open,Recruiting,"2022-05-16 00:00:00",NULL,NULL,Non-industry
JPRN-jRCT2031220404,https://jrct.niph.go.jp/latest-detail/jRCT2031220404,"2022-10-21 00:00:00","2023-05-08 00:00:00",NULL,"Master Protocol of Dato-DXd as Monotherapy and in Combination with Anticancer Agents in Patients with Advanced/Metastatic Solid Tumours",NULL,"A Phase II, Multicentre, Open-label, Master Protocol to Evaluate the Efficacy and Safety of Datopotamab Deruxtecan (Dato-DXd) as Monotherapy and in Combination with Anticancer Agents in Patients with Advanced/Metastatic Solid Tumours (TROPION-PanTumor03)",NULL,NULL,NULL,531,NULL,14,"Phase 2",Planned,Pending,"2022-11-30 00:00:00",NULL,NULL,Industry
JPRN-jRCT2031220414,https://jrct.niph.go.jp/latest-detail/jRCT2031220414,"2022-10-26 00:00:00","2023-05-08 00:00:00",NULL,"A Phase I, Open-Label, Multicenter Clinical Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Efficacy of SHR-A2009 for Injection in Patients With Advanced Solid Tumors",NULL,"A Phase I, Open-Label, Multicenter Clinical Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Efficacy of SHR-A2009 for Injection in Patients With Advanced Solid Tumors",NULL,NULL,NULL,132,NULL,3,"Phase 1",Open,Recruiting,"2022-11-01 00:00:00",NULL,NULL,Non-industry
JPRN-jRCT2051220070,https://jrct.niph.go.jp/latest-detail/jRCT2051220070,"2022-08-08 00:00:00","2022-10-10 00:00:00",NULL,"Phase Ia/Ib Basket Trial on the safety and efficacy of Mobocertinib in combination with T-DM1 for patients with HER2 mutant solid tumors (WJOG16022M)",NULL,"Phase Ia/Ib Basket Trial on the safety and efficacy of Mobocertinib in combination with T-DM1 for patients with HER2 mutant solid tumors (WJOG16022M)",NULL,NULL,NULL,38,NULL,1,"Phase 1",Planned,Pending,"2022-10-01 00:00:00",NULL,NULL,Non-industry
JPRN-jRCT2061220066,https://jrct.niph.go.jp/latest-detail/jRCT2061220066,"2022-10-26 00:00:00","2023-05-08 00:00:00",NULL,"A Randomized Phase 3 Study of Datopotamab Deruxtecan (Dato-DXd) and Pembrolizumab, with or Without Platinum Chemotherapy, in Subjects with No Prior Therapy for Advanced or Metastatic Non-squamous Non-Small Cell Lung Cancer (TROPION-Lung07)",NULL,"A Randomized Phase 3 Study of Datopotamab Deruxtecan (Dato-DXd) and Pembrolizumab, with or Without Platinum Chemotherapy, in Subjects with No Prior Therapy for Advanced or Metastatic PD-L1 TPS <50% Non-squamous Non-small Cell Lung Cancer Without Actionable Genomic Alterations (TROPION-Lung07)",Randomized,NULL,NULL,975,NULL,30,"Phase 3",Planned,Pending,"2023-01-01 00:00:00",NULL,NULL,Industry
JPRN-jRCTs031200336,https://jrct.niph.go.jp/latest-detail/jRCTs031200336,"2021-02-01 00:00:00","2022-07-06 00:00:00",NULL,EN-hance,NULL,"A Multicenter Randomized Open-Label Phase 2 Study Investigating Optimal Antiemetic Therapy for Subjects with Unresectable Recurrent Gastric Cancer Undergoing Trastuzumab deruxtecan",Randomized,NULL,NULL,64,NULL,1,"Phase 2",Open,Recruiting,"2021-04-08 00:00:00",NULL,NULL,Industry
JPRN-jRCTs031210410,https://jrct.niph.go.jp/latest-detail/jRCTs031210410,"2021-11-04 00:00:00","2022-10-10 00:00:00",NULL,ERICA,NULL,"WJOG14320BA Randomized, Placebo-Controlled, Double-Blind, Phase II study evaluating prophylactic antiemetic therapy with or without olanzapine for emesis and nausea induced by T-DXd treatment in patients with HER2 positive breast cancer (ERICA) - ERICA",Randomized,NULL,NULL,166,NULL,1,"Phase 2",Open,Recruiting,"2021-11-04 00:00:00",NULL,NULL,Non-industry
