nct_id,indication_id,indication
NCT03386513,368,"Myelodysplastic Syndrome"
NCT03386513,378,"Blastic Plasmacytoid Dendritic Cell Neoplasm"
NCT03386513,396,"Myeloproliferative Neoplasm"
NCT03401385,306,"Breast Cancer"
NCT03401385,307,"Triple-Negative Breast Cancer"
NCT03401385,323,"Colorectal Cancer"
NCT03401385,324,"Esophageal Cancer"
NCT03401385,326,"Gastric Cancer"
NCT03401385,327,"Gastroesophageal Junction"
NCT03401385,332,"Pancreatic Cancer"
NCT03401385,333,"Bladder Cancer"
NCT03401385,337,"Prostate Cancer"
NCT03401385,342,"Cervical Cancer"
NCT03401385,343,"Endometrial Cancer"
NCT03401385,347,"Ovarian Cancer"
NCT03401385,353,"Head and Neck Cancer"
NCT03401385,373,"Non-small Cell Lung Cancer"
NCT03401385,374,"Small Cell Lung Cancer"
NCT03401385,414,"Solid Tumors"
NCT03409432,375,"Anaplastic Large Cell Lymphoma"
NCT03409432,381,"Cutaneous T-cell Lymphoma"
NCT03409432,387,"Non-Hodgkin Lymphoma"
NCT03409432,390,"T-cell lymphoma"
NCT03424005,306,"Breast Cancer"
NCT03424005,307,"Triple-Negative Breast Cancer"
NCT03424603,376,"B-cell Lymphoma"
NCT03424603,382,"Diffuse Large B-cell Lymphoma"
NCT03424603,383,"Follicular Lymphoma"
NCT03424603,385,"Mantle Cell Lymphoma"
NCT03424603,387,"Non-Hodgkin Lymphoma"
NCT03424603,392,"Multiple Myeloma"
NCT03425279,373,"Non-small Cell Lung Cancer"
NCT03425279,402,"Ewing Sarcoma"
NCT03425279,405,Leiomyosarcoma
NCT03425279,406,Osteosarcoma
NCT03425279,408,"Soft Tissue Sarcoma"
NCT03425279,410,Melanoma
NCT03425279,414,"Solid Tumors"
NCT03425279,727,Liposarcoma
NCT03425279,729,"Synovial Sarcoma"
NCT03441061,357,"Acute Lymphocytic Leukemia"
NCT03460522,357,"Acute Lymphocytic Leukemia"
NCT03467373,376,"B-cell Lymphoma"
NCT03467373,382,"Diffuse Large B-cell Lymphoma"
NCT03467373,387,"Non-Hodgkin Lymphoma"
NCT03474107,333,"Bladder Cancer"
NCT03474133,331,"Hepatocellular Carcinoma"
NCT03474133,414,"Solid Tumors"
NCT03474133,751,"Hodgkin Lymphoma"
NCT03485209,323,"Colorectal Cancer"
NCT03485209,332,"Pancreatic Cancer"
NCT03485209,353,"Head and Neck Cancer"
NCT03485209,371,"Lung Cancer"
NCT03485209,373,"Non-small Cell Lung Cancer"
NCT03485209,414,"Solid Tumors"
NCT03485209,415,"Squamous Cell Carcinoma"
NCT03500380,306,"Breast Cancer"
NCT03504488,306,"Breast Cancer"
NCT03504488,307,"Triple-Negative Breast Cancer"
NCT03504488,353,"Head and Neck Cancer"
NCT03504488,371,"Lung Cancer"
NCT03504488,373,"Non-small Cell Lung Cancer"
NCT03504488,408,"Soft Tissue Sarcoma"
NCT03504488,410,Melanoma
NCT03504488,414,"Solid Tumors"
NCT03505710,373,"Non-small Cell Lung Cancer"
NCT03517137,380,"Classical Hodgkin Lymphoma"
NCT03517137,751,"Hodgkin Lymphoma"
NCT03523572,306,"Breast Cancer"
NCT03523572,333,"Bladder Cancer"
NCT03523585,306,"Breast Cancer"
NCT03525678,392,"Multiple Myeloma"
NCT03527628,380,"Classical Hodgkin Lymphoma"
NCT03527628,751,"Hodgkin Lymphoma"
NCT03529110,306,"Breast Cancer"
NCT03533283,376,"B-cell Lymphoma"
NCT03533283,382,"Diffuse Large B-cell Lymphoma"
NCT03533283,383,"Follicular Lymphoma"
NCT03533283,387,"Non-Hodgkin Lymphoma"
NCT03539536,373,"Non-small Cell Lung Cancer"
NCT03540849,380,"Classical Hodgkin Lymphoma"
NCT03540849,751,"Hodgkin Lymphoma"
NCT03543813,324,"Esophageal Cancer"
NCT03543813,353,"Head and Neck Cancer"
NCT03543813,373,"Non-small Cell Lung Cancer"
NCT03543813,382,"Diffuse Large B-cell Lymphoma"
NCT03543813,414,"Solid Tumors"
NCT03544281,392,"Multiple Myeloma"
NCT03547973,333,"Bladder Cancer"
NCT03552471,343,"Endometrial Cancer"
NCT03552471,344,"Fallopian tube Cancer"
NCT03552471,347,"Ovarian Cancer"
NCT03552471,348,"Peritoneal Cancer"
NCT03552471,414,"Solid Tumors"
NCT03564678,357,"Acute Lymphocytic Leukemia"
NCT03568994,358,"Acute Myeloid Leukemia"
NCT03568994,368,"Myelodysplastic Syndrome"
NCT03576378,380,"Classical Hodgkin Lymphoma"
NCT03576378,751,"Hodgkin Lymphoma"
NCT03587311,344,"Fallopian tube Cancer"
NCT03587311,347,"Ovarian Cancer"
NCT03587311,348,"Peritoneal Cancer"
NCT03587740,306,"Breast Cancer"
NCT03589729,355,"Hematological Malignancies"
NCT03589729,358,"Acute Myeloid Leukemia"
NCT03589729,364,"Chronic Myeloid Leukemia"
NCT03589729,368,"Myelodysplastic Syndrome"
NCT03589729,396,"Myeloproliferative Neoplasm"
NCT03595059,306,"Breast Cancer"
NCT03595059,371,"Lung Cancer"
NCT03595059,373,"Non-small Cell Lung Cancer"
NCT03595059,374,"Small Cell Lung Cancer"
NCT03610438,357,"Acute Lymphocytic Leukemia"
NCT03639194,371,"Lung Cancer"
NCT03639194,374,"Small Cell Lung Cancer"
NCT03639194,414,"Solid Tumors"
NCT03646123,380,"Classical Hodgkin Lymphoma"
NCT03646123,751,"Hodgkin Lymphoma"
NCT03652441,380,"Classical Hodgkin Lymphoma"
NCT03652441,751,"Hodgkin Lymphoma"
NCT03671018,382,"Diffuse Large B-cell Lymphoma"
NCT03671018,383,"Follicular Lymphoma"
NCT03671018,385,"Mantle Cell Lymphoma"
NCT03671018,387,"Non-Hodgkin Lymphoma"
NCT03672539,358,"Acute Myeloid Leukemia"
NCT03672539,365,"Chronic Myelomonocytic Leukemia"
NCT03672539,368,"Myelodysplastic Syndrome"
NCT03677141,382,"Diffuse Large B-cell Lymphoma"
NCT03677141,387,"Non-Hodgkin Lymphoma"
NCT03677154,382,"Diffuse Large B-cell Lymphoma"
NCT03698552,357,"Acute Lymphocytic Leukemia"
NCT03698552,732,"B-cell Acute Lymphocytic Leukemia"
NCT03703050,375,"Anaplastic Large Cell Lymphoma"
NCT03709082,306,"Breast Cancer"
NCT03712202,380,"Classical Hodgkin Lymphoma"
NCT03712202,751,"Hodgkin Lymphoma"
NCT03715478,392,"Multiple Myeloma"
NCT03719105,388,"Peripheral T-cell Lymphoma"
NCT03719105,390,"T-cell lymphoma"
NCT03719105,737,"Enteropathy-Associated T-cell Lymphoma"
NCT03719105,740,"NK-cell lymphoma"
NCT03725761,337,"Prostate Cancer"
NCT03726879,306,"Breast Cancer"
NCT03732703,392,"Multiple Myeloma"
NCT03734029,306,"Breast Cancer"
NCT03737955,358,"Acute Myeloid Leukemia"
NCT03737955,368,"Myelodysplastic Syndrome"
NCT03742102,306,"Breast Cancer"
NCT03742102,307,"Triple-Negative Breast Cancer"
NCT03748186,343,"Endometrial Cancer"
NCT03748186,344,"Fallopian tube Cancer"
NCT03748186,347,"Ovarian Cancer"
NCT03748186,348,"Peritoneal Cancer"
NCT03755141,306,"Breast Cancer"
NCT03755804,380,"Classical Hodgkin Lymphoma"
NCT03755804,751,"Hodgkin Lymphoma"
NCT03769506,353,"Head and Neck Cancer"
NCT03786081,342,"Cervical Cancer"
NCT03805932,366,"Hairy Cell Leukemia"
NCT03809013,333,"Bladder Cancer"
NCT03809624,324,"Esophageal Cancer"
NCT03809624,326,"Gastric Cancer"
NCT03809624,327,"Gastroesophageal Junction"
NCT03809624,333,"Bladder Cancer"
NCT03809624,334,"Genitourinary Cancer"
NCT03809624,338,"Renal Cell Carcinoma"
NCT03809624,353,"Head and Neck Cancer"
NCT03809624,354,"Nasopharyngeal Carcinoma"
NCT03809624,371,"Lung Cancer"
NCT03809624,373,"Non-small Cell Lung Cancer"
NCT03809624,410,Melanoma
NCT03809624,414,"Solid Tumors"
NCT03816358,332,"Pancreatic Cancer"
NCT03820063,306,"Breast Cancer"
NCT03828292,392,"Multiple Myeloma"
NCT03829540,355,"Hematological Malignancies"
NCT03829540,357,"Acute Lymphocytic Leukemia"
NCT03829540,378,"Blastic Plasmacytoid Dendritic Cell Neoplasm"
NCT03829540,381,"Cutaneous T-cell Lymphoma"
NCT03829540,388,"Peripheral T-cell Lymphoma"
NCT03829540,390,"T-cell lymphoma"
NCT03829540,731,"T-cell Acute Lymphocytic Leukemia"
NCT03829540,734,"T-cell Prolymphocytic Leukemia"
NCT03832361,343,"Endometrial Cancer"
NCT03833180,355,"Hematological Malignancies"
NCT03833180,357,"Acute Lymphocytic Leukemia"
NCT03833180,358,"Acute Myeloid Leukemia"
NCT03833180,363,"Chronic Lymphocytic Leukemia"
NCT03833180,382,"Diffuse Large B-cell Lymphoma"
NCT03833180,383,"Follicular Lymphoma"
NCT03833180,385,"Mantle Cell Lymphoma"
NCT03833180,386,"Marginal Zone Lymphoma"
NCT03833180,387,"Non-Hodgkin Lymphoma"
NCT03833180,391,"Waldenstrom Macroglobulinemia"
NCT03833180,739,"Burkitt Lymphoma"
NCT03833180,754,"Small Lymphocytic Lymphoma"
NCT03835819,343,"Endometrial Cancer"
NCT03848845,392,"Multiple Myeloma"
NCT03856216,357,"Acute Lymphocytic Leukemia"
NCT03856216,732,"B-cell Acute Lymphocytic Leukemia"
NCT03859752,414,"Solid Tumors"
NCT03869190,333,"Bladder Cancer"
NCT03878524,306,"Breast Cancer"
NCT03878524,332,"Pancreatic Cancer"
NCT03878524,337,"Prostate Cancer"
NCT03878524,355,"Hematological Malignancies"
NCT03878524,357,"Acute Lymphocytic Leukemia"
NCT03878524,358,"Acute Myeloid Leukemia"
NCT03878524,363,"Chronic Lymphocytic Leukemia"
NCT03878524,364,"Chronic Myeloid Leukemia"
NCT03878524,365,"Chronic Myelomonocytic Leukemia"
NCT03878524,368,"Myelodysplastic Syndrome"
NCT03878524,387,"Non-Hodgkin Lymphoma"
NCT03878524,392,"Multiple Myeloma"
NCT03878524,395,Myelofibrosis
NCT03878524,396,"Myeloproliferative Neoplasm"
NCT03878524,414,"Solid Tumors"
NCT03878524,751,"Hodgkin Lymphoma"
NCT03878524,754,"Small Lymphocytic Lymphoma"
NCT03894150,355,"Hematological Malignancies"
NCT03894150,375,"Anaplastic Large Cell Lymphoma"
NCT03900949,358,"Acute Myeloid Leukemia"
NCT03901339,306,"Breast Cancer"
NCT03904251,358,"Acute Myeloid Leukemia"
NCT03907488,380,"Classical Hodgkin Lymphoma"
NCT03907488,751,"Hodgkin Lymphoma"
NCT03913559,357,"Acute Lymphocytic Leukemia"
NCT03913559,732,"B-cell Acute Lymphocytic Leukemia"
NCT03924895,333,"Bladder Cancer"
NCT03944499,306,"Breast Cancer"
NCT03944499,414,"Solid Tumors"
NCT03944772,373,"Non-small Cell Lung Cancer"
NCT03944772,374,"Small Cell Lung Cancer"
NCT03959085,357,"Acute Lymphocytic Leukemia"
NCT03959085,379,"Central Nervous System Lymphoma"
NCT03959085,732,"B-cell Acute Lymphocytic Leukemia"
NCT03959085,741,"Lymphoblastic Lymphoma"
NCT03962465,357,"Acute Lymphocytic Leukemia"
NCT03962465,732,"B-cell Acute Lymphocytic Leukemia"
NCT03962465,741,"Lymphoblastic Lymphoma"
NCT03964727,343,"Endometrial Cancer"
NCT03964727,353,"Head and Neck Cancer"
NCT03964727,373,"Non-small Cell Lung Cancer"
NCT03964727,374,"Small Cell Lung Cancer"
NCT03964727,414,"Solid Tumors"
NCT03971409,306,"Breast Cancer"
NCT03971409,307,"Triple-Negative Breast Cancer"
NCT03975647,306,"Breast Cancer"
NCT03995706,303,Glioblastoma
NCT03995706,306,"Breast Cancer"
NCT04014075,326,"Gastric Cancer"
NCT04014075,327,"Gastroesophageal Junction"
NCT04015778,371,"Lung Cancer"
NCT04015778,373,"Non-small Cell Lung Cancer"
NCT04032704,324,"Esophageal Cancer"
NCT04032704,326,"Gastric Cancer"
NCT04032704,327,"Gastroesophageal Junction"
NCT04032704,337,"Prostate Cancer"
NCT04032704,353,"Head and Neck Cancer"
NCT04032704,373,"Non-small Cell Lung Cancer"
NCT04032704,374,"Small Cell Lung Cancer"
NCT04032704,410,Melanoma
NCT04032704,414,"Solid Tumors"
NCT04036461,392,"Multiple Myeloma"
NCT04039230,306,"Breast Cancer"
NCT04042701,306,"Breast Cancer"
NCT04042701,371,"Lung Cancer"
