nct_id,indication,population
JPRN-jRCT2031220414,"Solid Tumors",Refractory
JPRN-jRCT2031220414,"Solid Tumors",Unresectable
JPRN-jRCT2051220070,"Solid Tumors",Advanced
JPRN-jRCT2051220070,"Solid Tumors",Refractory
JPRN-jRCT2051220070,"Solid Tumors",Relapsed
JPRN-jRCT2061220066,"Lung Cancer",Advanced
JPRN-jRCT2061220066,"Lung Cancer",Resectable
JPRN-jRCT2061220066,"Non-small Cell Lung Cancer",Advanced
JPRN-jRCT2061220066,"Non-small Cell Lung Cancer",Resectable
JPRN-jRCTs031200336,"Gastric Cancer",Relapsed
JPRN-jRCTs031200336,"Gastric Cancer",Unresectable
JPRN-jRCTs031200336,"Gastroesophageal Junction",Relapsed
JPRN-jRCTs031200336,"Gastroesophageal Junction",Unresectable
JPRN-jRCTs031200336,"Gastrointestinal Cancer",Relapsed
JPRN-jRCTs031200336,"Gastrointestinal Cancer",Unresectable
JPRN-jRCTs031200336,"Liver Cancer",Relapsed
JPRN-jRCTs031200336,"Liver Cancer",Unresectable
JPRN-jRCTs031210410,"Brain Cancer",Metastatic
JPRN-jRCTs031210410,"Brain Cancer",Unresectable
JPRN-jRCTs031210410,"Breast Cancer",Metastatic
JPRN-jRCTs031210410,"Breast Cancer",Unresectable
JPRN-jRCTs041190101,"Acute Promyelocytic Leukemia",Relapsed
JPRN-jRCTs041200063,"Acute Myeloid Leukemia",Relapsed
JPRN-UMIN000014649,"Breast Cancer",Resectable
JPRN-UMIN000030783,"Breast Cancer",Advanced
JPRN-UMIN000034205,"Cutaneous T-cell Lymphoma",Refractory
JPRN-UMIN000034205,"Cutaneous T-cell Lymphoma",Relapsed
JPRN-UMIN000034205,"T-cell lymphoma",Refractory
JPRN-UMIN000034205,"T-cell lymphoma",Relapsed
NCT00006721,"Follicular Lymphoma",Refractory
NCT00006721,"Follicular Lymphoma",Relapsed
NCT00006721,"Non-Hodgkin Lymphoma",Refractory
NCT00006721,"Non-Hodgkin Lymphoma",Relapsed
NCT00135200,"Multiple Myeloma",Refractory
NCT00135200,"Multiple Myeloma",Relapsed
NCT00658814,"Acute Myeloid Leukemia",Refractory
NCT00658814,"Acute Myeloid Leukemia",Relapsed
NCT00781612,"Solid Tumors",Metastatic
NCT00781612,"Solid Tumors",Refractory
NCT00801489,"Acute Myeloid Leukemia",Refractory
NCT00801489,"Acute Myeloid Leukemia",Relapsed
NCT00801489,"Myelodysplastic Syndrome","High Risk"
NCT00801489,"Myelodysplastic Syndrome",Refractory
NCT00801489,"Myelodysplastic Syndrome",Relapsed
NCT01042379,"Breast Cancer",Advanced
NCT01042379,"Breast Cancer","Locally Advanced"
NCT01042379,"Breast Cancer",Metastatic
NCT01042379,"Breast Cancer",Relapsed
NCT01042379,"Breast Cancer",Resectable
NCT01042379,"Triple-Negative Breast Cancer",Advanced
NCT01042379,"Triple-Negative Breast Cancer","Locally Advanced"
NCT01042379,"Triple-Negative Breast Cancer",Metastatic
NCT01042379,"Triple-Negative Breast Cancer",Relapsed
NCT01042379,"Triple-Negative Breast Cancer",Resectable
NCT01352520,"Anaplastic Large Cell Lymphoma",Refractory
NCT01352520,"Anaplastic Large Cell Lymphoma",Relapsed
NCT01352520,"Cutaneous T-cell Lymphoma",Refractory
NCT01352520,"Cutaneous T-cell Lymphoma",Relapsed
NCT01352520,"T-cell lymphoma",Refractory
NCT01352520,"T-cell lymphoma",Relapsed
NCT01371630,"Acute Lymphocytic Leukemia",Refractory
NCT01371630,"Acute Lymphocytic Leukemia",Relapsed
NCT01371630,"B-cell Lymphoma",Refractory
NCT01371630,"B-cell Lymphoma",Relapsed
NCT01371630,"Burkitt Lymphoma",Refractory
NCT01371630,"Burkitt Lymphoma",Relapsed
NCT01409161,"Acute Promyelocytic Leukemia",Refractory
NCT01476410,"Classical Hodgkin Lymphoma",Lymphocyte-depleted
NCT01476410,"Classical Hodgkin Lymphoma","Mixed cellularity"
NCT01476410,"Classical Hodgkin Lymphoma","Nodular sclerosis"
NCT01494662,"Breast Cancer",Metastatic
NCT01494662,"Breast Cancer",Refractory
NCT01494662,"Breast Cancer",Resectable
NCT01508312,"Classical Hodgkin Lymphoma",Refractory
NCT01508312,"Classical Hodgkin Lymphoma",Relapsed
NCT01508312,"Hodgkin Lymphoma",Refractory
NCT01508312,"Hodgkin Lymphoma",Relapsed
NCT01565200,"Breast Cancer",Advanced
NCT01565200,"Breast Cancer",Metastatic
NCT01565200,"Breast Cancer",Refractory
NCT01565200,"Breast Cancer",Relapsed
NCT01703949,"Hodgkin Lymphoma",Refractory
NCT01703949,"Hodgkin Lymphoma",Relapsed
NCT01703949,"Non-Hodgkin Lymphoma",Refractory
NCT01703949,"Non-Hodgkin Lymphoma",Relapsed
NCT01712490,"Classical Hodgkin Lymphoma",Advanced
NCT01712490,"Classical Hodgkin Lymphoma",Relapsed
NCT01712490,"Hodgkin Lymphoma",Advanced
NCT01712490,"Hodgkin Lymphoma",Relapsed
NCT01745965,"Breast Cancer",Metastatic
NCT01745965,"Breast Cancer",Relapsed
NCT01745965,"Breast Cancer",Resectable
NCT01771107,"Hodgkin Lymphoma",Refractory
NCT01772472,"Breast Cancer",Relapsed
NCT01853748,"Breast Cancer",Metastatic
NCT01853748,"Breast Cancer",Relapsed
NCT01920932,"Classical Hodgkin Lymphoma",Refractory
NCT01920932,"Classical Hodgkin Lymphoma",Relapsed
NCT01920932,"Hodgkin Lymphoma",Refractory
NCT01920932,"Hodgkin Lymphoma",Relapsed
NCT01979536,"Anaplastic Large Cell Lymphoma",Refractory
NCT02098512,"Hodgkin Lymphoma",Refractory
NCT02098512,"Hodgkin Lymphoma",Relapsed
NCT02099058,"Non-small Cell Lung Cancer",Advanced
NCT02099058,"Non-small Cell Lung Cancer","Locally Advanced"
NCT02099058,"Non-small Cell Lung Cancer",Metastatic
NCT02099058,"Non-small Cell Lung Cancer","Non Squamous"
NCT02099058,"Non-small Cell Lung Cancer",Refractory
NCT02099058,"Non-small Cell Lung Cancer",Resectable
NCT02099058,"Solid Tumors",Advanced
NCT02099058,"Solid Tumors","Locally Advanced"
NCT02099058,"Solid Tumors",Metastatic
NCT02099058,"Solid Tumors",Refractory
NCT02099058,"Solid Tumors",Resectable
NCT02152995,"Thyroid Cancer",Follicular
NCT02152995,"Thyroid Cancer",Metastatic
NCT02152995,"Thyroid Cancer",Papillary
NCT02152995,"Thyroid Cancer",Refractory
NCT02152995,"Thyroid Cancer",Relapsed
NCT02152995,"Thyroid Cancer",Resectable
NCT02166463,"Classical Hodgkin Lymphoma",Refractory
NCT02166463,"Classical Hodgkin Lymphoma",Relapsed
NCT02166463,"Hodgkin Lymphoma",Refractory
NCT02166463,"Hodgkin Lymphoma",Relapsed
NCT02187848,"Biliary Tract Cancer",Advanced
NCT02187848,"Biliary Tract Cancer","Locally Advanced"
NCT02187848,"Biliary Tract Cancer",Metastatic
NCT02187848,"Biliary Tract Cancer",Refractory
NCT02187848,"Bladder Cancer",Advanced
NCT02187848,"Bladder Cancer","Locally Advanced"
NCT02187848,"Bladder Cancer",Metastatic
NCT02187848,"Bladder Cancer",Refractory
NCT02187848,"Colorectal Cancer",Advanced
NCT02187848,"Colorectal Cancer","Locally Advanced"
NCT02187848,"Colorectal Cancer",Metastatic
NCT02187848,"Colorectal Cancer",Refractory
NCT02187848,"Endometrial Cancer",Advanced
NCT02187848,"Endometrial Cancer","Locally Advanced"
NCT02187848,"Endometrial Cancer",Metastatic
NCT02187848,"Endometrial Cancer",Refractory
NCT02187848,"Gastric Cancer",Advanced
NCT02187848,"Gastric Cancer","Locally Advanced"
NCT02187848,"Gastric Cancer",Metastatic
NCT02187848,"Gastric Cancer",Refractory
NCT02187848,"Non-small Cell Lung Cancer",Advanced
NCT02187848,"Non-small Cell Lung Cancer","Locally Advanced"
NCT02187848,"Non-small Cell Lung Cancer",Metastatic
NCT02187848,"Non-small Cell Lung Cancer","Non Squamous"
NCT02187848,"Non-small Cell Lung Cancer",Refractory
NCT02187848,"Ovarian Cancer",Advanced
NCT02187848,"Ovarian Cancer","Locally Advanced"
NCT02187848,"Ovarian Cancer",Metastatic
NCT02187848,"Ovarian Cancer",Refractory
NCT02187848,"Pancreatic Cancer",Advanced
NCT02187848,"Pancreatic Cancer","Locally Advanced"
NCT02187848,"Pancreatic Cancer",Metastatic
NCT02187848,"Pancreatic Cancer",Refractory
NCT02187848,"Small Cell Lung Cancer",Advanced
NCT02187848,"Small Cell Lung Cancer","Locally Advanced"
NCT02187848,"Small Cell Lung Cancer",Metastatic
NCT02187848,"Small Cell Lung Cancer",Refractory
NCT02187848,"Solid Tumors",Advanced
NCT02187848,"Solid Tumors","Locally Advanced"
NCT02187848,"Solid Tumors",Metastatic
NCT02187848,"Solid Tumors",Refractory
NCT02191930,"Classical Hodgkin Lymphoma",Advanced
NCT02191930,"Hodgkin Lymphoma",Advanced
NCT02221310,"Acute Myeloid Leukemia",Refractory
NCT02221310,"Acute Myeloid Leukemia",Relapsed
NCT02221310,"Myelodysplastic Syndrome","High Risk"
NCT02221310,"Myelodysplastic Syndrome",Refractory
NCT02221310,"Myelodysplastic Syndrome",Relapsed
NCT02226276,"Breast Cancer",Advanced
NCT02226276,"Breast Cancer",Metastatic
NCT02226276,"Breast Cancer",Refractory
NCT02226276,"Breast Cancer",Relapsed
NCT02227199,"Hodgkin Lymphoma",Refractory
NCT02227199,"Hodgkin Lymphoma",Relapsed
NCT02272478,"Myelodysplastic Syndrome","High Risk"
NCT02298257,"Hodgkin Lymphoma",Refractory
NCT02314481,"Non-small Cell Lung Cancer","Non Squamous"
NCT02314481,"Non-small Cell Lung Cancer",Relapsed
NCT02314481,"Non-small Cell Lung Cancer",Squamous
NCT02326974,"Breast Cancer","Locally Advanced"
NCT02326974,"Breast Cancer",Metastatic
NCT02326974,"Breast Cancer",Relapsed
NCT02343042,"Multiple Myeloma",Refractory
NCT02343042,"Multiple Myeloma",Relapsed
NCT02390427,"Breast Cancer",Advanced
NCT02390427,"Breast Cancer","Locally Advanced"
NCT02390427,"Breast Cancer",Metastatic
NCT02390427,"Breast Cancer",Relapsed
NCT02393690,"Thyroid Cancer",Differentiated
NCT02393690,"Thyroid Cancer",Follicular
NCT02393690,"Thyroid Cancer",Metastatic
NCT02393690,"Thyroid Cancer",Papillary
NCT02393690,"Thyroid Cancer",Relapsed
NCT02448420,"Breast Cancer",Advanced
NCT02448420,"Breast Cancer","Locally Advanced"
NCT02448420,"Breast Cancer",Metastatic
NCT02448420,"Breast Cancer",Refractory
NCT02448420,"Breast Cancer",Relapsed
NCT02448420,"Breast Cancer",Resectable
NCT02453594,"Classical Hodgkin Lymphoma",Refractory
NCT02453594,"Classical Hodgkin Lymphoma",Relapsed
NCT02453594,"Classical Hodgkin Lymphoma","Transplant Ineligible"
NCT02453594,"Hodgkin Lymphoma",Refractory
NCT02453594,"Hodgkin Lymphoma",Relapsed
NCT02453594,"Hodgkin Lymphoma","Transplant Ineligible"
NCT02465060,"Biliary Tract Cancer",Advanced
NCT02465060,"Biliary Tract Cancer",Recurrent
NCT02465060,"Biliary Tract Cancer",Refractory
NCT02465060,"Biliary Tract Cancer",Relapsed
NCT02465060,"Bladder Cancer",Advanced
NCT02465060,"Bladder Cancer",Recurrent
NCT02465060,"Bladder Cancer",Refractory
NCT02465060,"Bladder Cancer",Relapsed
NCT02465060,"Breast Cancer",Advanced
NCT02465060,"Breast Cancer",Recurrent
NCT02465060,"Breast Cancer",Refractory
NCT02465060,"Breast Cancer",Relapsed
NCT02465060,"Cervical Cancer",Advanced
NCT02465060,"Cervical Cancer",Recurrent
NCT02465060,"Cervical Cancer",Refractory
NCT02465060,"Cervical Cancer",Relapsed
NCT02465060,"Colorectal Cancer",Advanced
NCT02465060,"Colorectal Cancer",Recurrent
NCT02465060,"Colorectal Cancer",Refractory
NCT02465060,"Colorectal Cancer",Relapsed
NCT02465060,"Endometrial Cancer",Advanced
NCT02465060,"Endometrial Cancer",Recurrent
NCT02465060,"Endometrial Cancer",Refractory
NCT02465060,"Endometrial Cancer",Relapsed
NCT02465060,"Esophageal Cancer",Advanced
NCT02465060,"Esophageal Cancer",Recurrent
NCT02465060,"Esophageal Cancer",Refractory
NCT02465060,"Esophageal Cancer",Relapsed
NCT02465060,"Gastric Cancer",Advanced
NCT02465060,"Gastric Cancer",Recurrent
NCT02465060,"Gastric Cancer",Refractory
NCT02465060,"Gastric Cancer",Relapsed
NCT02465060,Glioma,Advanced
NCT02465060,Glioma,Recurrent
NCT02465060,Glioma,Refractory
NCT02465060,Glioma,Relapsed
NCT02465060,"Head and Neck Cancer",Advanced
NCT02465060,"Head and Neck Cancer",Recurrent
NCT02465060,"Head and Neck Cancer",Refractory
NCT02465060,"Head and Neck Cancer",Relapsed
NCT02465060,"Hepatocellular Carcinoma",Advanced
NCT02465060,"Hepatocellular Carcinoma",Recurrent
NCT02465060,"Hepatocellular Carcinoma",Refractory
NCT02465060,"Hepatocellular Carcinoma",Relapsed
NCT02465060,"Lung Cancer",Advanced
NCT02465060,"Lung Cancer",Recurrent
NCT02465060,"Lung Cancer",Refractory
NCT02465060,"Lung Cancer",Relapsed
NCT02465060,Melanoma,Advanced
NCT02465060,Melanoma,Recurrent
NCT02465060,Melanoma,Refractory
NCT02465060,Melanoma,Relapsed
NCT02465060,"Multiple Myeloma",Advanced
NCT02465060,"Multiple Myeloma",Refractory
NCT02465060,"Multiple Myeloma",Relapsed
NCT02465060,"Ovarian Cancer",Advanced
NCT02465060,"Ovarian Cancer",Recurrent
NCT02465060,"Ovarian Cancer",Refractory
NCT02465060,"Ovarian Cancer",Relapsed
NCT02465060,"Pancreatic Cancer",Advanced
NCT02465060,"Pancreatic Cancer",Recurrent
NCT02465060,"Pancreatic Cancer",Refractory
NCT02465060,"Pancreatic Cancer",Relapsed
NCT02465060,"Prostate Cancer",Advanced
NCT02465060,"Prostate Cancer",Recurrent
NCT02465060,"Prostate Cancer",Refractory
NCT02465060,"Prostate Cancer",Relapsed
NCT02465060,"Renal Cell Carcinoma",Advanced
NCT02465060,"Renal Cell Carcinoma",Recurrent
NCT02465060,"Renal Cell Carcinoma",Refractory
NCT02465060,"Renal Cell Carcinoma",Relapsed
NCT02465060,"Skin Cancer",Advanced
NCT02465060,"Skin Cancer",Recurrent
NCT02465060,"Skin Cancer",Refractory
NCT02465060,"Skin Cancer",Relapsed
NCT02465060,"Solid Tumors",Advanced
NCT02465060,"Solid Tumors",Recurrent
NCT02465060,"Solid Tumors",Refractory
NCT02465060,"Solid Tumors",Relapsed
NCT02465060,"Uterine Cancer",Advanced
NCT02465060,"Uterine Cancer",Recurrent
NCT02465060,"Uterine Cancer",Refractory
NCT02465060,"Uterine Cancer",Relapsed
NCT02473146,"Acute Myeloid Leukemia",Relapsed
NCT02564900,"Breast Cancer",Advanced
NCT02564900,"Breast Cancer",Metastatic
NCT02564900,"Breast Cancer",Refractory
NCT02564900,"Breast Cancer",Relapsed
NCT02564900,"Breast Cancer",Unresectable
NCT02564900,"Gastric Cancer",Advanced
NCT02564900,"Gastric Cancer",Metastatic
NCT02564900,"Gastric Cancer",Refractory
NCT02564900,"Gastric Cancer",Relapsed
NCT02564900,"Gastric Cancer",Unresectable
NCT02564900,"Gastroesophageal Junction",Advanced
NCT02564900,"Gastroesophageal Junction",Metastatic
NCT02564900,"Gastroesophageal Junction",Refractory
NCT02564900,"Gastroesophageal Junction",Relapsed
