nct_id,drug_id,drug,drug_candidate,drug_alias,target,target_description,modality,modality_description,therapy_class,therapy_class_description,company,drug_payload,drug_payload_moa
EUCTR2005-000279-16-FI,39086,"gemtuzumab ozogamicin",Pipeline,"CDP-771|CMA-676|Gemtuzumab Ozogamicin|gemtuzumab ozogamycin|hp67.6-calicheamicin|Mylotarg|WAY-CMA 676",CD33,"Cluster of Differentiation-33",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Pfizer,"N-acetyl gamma calicheamicin","DNA damaging agent"
EUCTR2005-001588-78-GB,39086,"gemtuzumab ozogamicin",Pipeline,"CDP-771|CMA-676|Gemtuzumab Ozogamicin|gemtuzumab ozogamycin|hp67.6-calicheamicin|Mylotarg|WAY-CMA 676",CD33,"Cluster of Differentiation-33",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Pfizer,"N-acetyl gamma calicheamicin","DNA damaging agent"
EUCTR2007-003798-16-DK,39086,"gemtuzumab ozogamicin",Pipeline,"CDP-771|CMA-676|Gemtuzumab Ozogamicin|gemtuzumab ozogamycin|hp67.6-calicheamicin|Mylotarg|WAY-CMA 676",CD33,"Cluster of Differentiation-33",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Pfizer,"N-acetyl gamma calicheamicin","DNA damaging agent"
EUCTR2010-018980-41-BE,39086,"gemtuzumab ozogamicin",Pipeline,"CDP-771|CMA-676|Gemtuzumab Ozogamicin|gemtuzumab ozogamycin|hp67.6-calicheamicin|Mylotarg|WAY-CMA 676",CD33,"Cluster of Differentiation-33",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Pfizer,"N-acetyl gamma calicheamicin","DNA damaging agent"
EUCTR2013-003252-20-BE,39607,"indatuximab ravtansine",Pipeline,"BT-062|indatuximab ravtansine|maytansinoid-conjugated anti-myeloma monoclonal antibody BT-062|nBT062",CD138,"Cluster of Differentiation-138",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Biotest,"Maytansine derivative","Tubulin inhibitor"
EUCTR2014-000793-19-ES,36871,"ado-trastuzumab emtansine",Pipeline,"ado-trastuzumab emtansine|Herceptin-DM1|Kadcyla|PRO-132365|R-3502|RG-3502|RO-5304020|T-DM1|Trastuzumab Emtansine|trastuzumab-DM1|trastuzumab-MCC-DM1|trastuzumab-mertansine",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Targeted Therapy",NULL,Roche,"Maytansine DM1","Tubulin inhibitor"
EUCTR2014-000808-10-SE,36871,"ado-trastuzumab emtansine",Pipeline,"ado-trastuzumab emtansine|Herceptin-DM1|Kadcyla|PRO-132365|R-3502|RG-3502|RO-5304020|T-DM1|Trastuzumab Emtansine|trastuzumab-DM1|trastuzumab-MCC-DM1|trastuzumab-mertansine",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Targeted Therapy",NULL,Roche,"Maytansine DM1","Tubulin inhibitor"
EUCTR2014-002195-90-DK,39086,"gemtuzumab ozogamicin",Pipeline,"CDP-771|CMA-676|Gemtuzumab Ozogamicin|gemtuzumab ozogamycin|hp67.6-calicheamicin|Mylotarg|WAY-CMA 676",CD33,"Cluster of Differentiation-33",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Pfizer,"N-acetyl gamma calicheamicin","DNA damaging agent"
EUCTR2014-005341-44-AT,36871,"ado-trastuzumab emtansine",Pipeline,"ado-trastuzumab emtansine|Herceptin-DM1|Kadcyla|PRO-132365|R-3502|RG-3502|RO-5304020|T-DM1|Trastuzumab Emtansine|trastuzumab-DM1|trastuzumab-MCC-DM1|trastuzumab-mertansine",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Targeted Therapy",NULL,Roche,"Maytansine DM1","Tubulin inhibitor"
EUCTR2016-000227-71-FI,39639,"inotuzumab ozogamicin",Pipeline,"Besponsa|CMC-544|Inotuzumab|Inotuzumab ozogamicin|PF-5208773|WAY-207294",CD22,"Cluster of Differentiation-22",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Pfizer,Calicheamicin,"DNA damaging agent"
EUCTR2019-002181-12-IT,36871,"ado-trastuzumab emtansine",Pipeline,"ado-trastuzumab emtansine|Herceptin-DM1|Kadcyla|PRO-132365|R-3502|RG-3502|RO-5304020|T-DM1|Trastuzumab Emtansine|trastuzumab-DM1|trastuzumab-MCC-DM1|trastuzumab-mertansine",HER2,"Human Epidermal Growth Factor Receptor 2",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Targeted Therapy",NULL,Roche,"Maytansine DM1","Tubulin inhibitor"
EUCTR2019-003084-21-IT,37766,"brentuximab vedotin",Pipeline,"Adcetris|brentuximab vedotin|cAC10-vcMMAE|SGN-035|SGN-35",CD30,"Cluster of Differentiation-30",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Seagen,"Monomethyl Auristatin E","Tubulin inhibitor"
EUCTR2019-003084-21-IT,37766,"brentuximab vedotin",Pipeline,"Adcetris|brentuximab vedotin|cAC10-vcMMAE|SGN-035|SGN-35",CD30,"Cluster of Differentiation-30",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Takeda,"Monomethyl Auristatin E","Tubulin inhibitor"
EUCTR2020-000273-24-GB,39086,"gemtuzumab ozogamicin",Pipeline,"CDP-771|CMA-676|Gemtuzumab Ozogamicin|gemtuzumab ozogamycin|hp67.6-calicheamicin|Mylotarg|WAY-CMA 676",CD33,"Cluster of Differentiation-33",ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Pfizer,"N-acetyl gamma calicheamicin","DNA damaging agent"
EUCTR2020-004181-20-IT,37838,"camidanlumab tesirine",Pipeline,"ADCT-301|Cami-T|camidanlumab tesirine|HuMax-TAC-ADC",IL-2,Interleukin-2,ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,"ADC Therapeutics",Pyrrolobenzodiazepine,"DNA damaging agent"
EUCTR2020-004181-20-IT,37838,"camidanlumab tesirine",Pipeline,"ADCT-301|Cami-T|camidanlumab tesirine|HuMax-TAC-ADC",IL-2,Interleukin-2,ADC,"A substance made up of a monoclonal antibody chemically linked to a drug. The monoclonal antibody binds to specific proteins or receptors found on certain types of cells, including cancer cells. The linked drug enters these cells and kills them without harming other cells. Some antibody-drug conjugates are used to treat cancer. Also called ADC.","Antibody Therapeutics",NULL,Genmab,Pyrrolobenzodiazepine,"DNA damaging agent"
